TITLE;Authorized Territories ;Ready To Be Delivered;STUDIO NAME;UPC/EAN code;;"FORMAT RELEASED FIRST 
(DVD or Bluray)";;Cat#;;"GENRE/CATEGORY
 
 genre (it can be up to 5)";TITLE;PRINCIPAL ACTORS (Last, First) (Please use commas & slashes when listing names, like this:   Suarez, David/Wells, Blain);DIRECTOR (Last, First) (Please use commas & slashes when listing names, like this: Suarez, David/Wells, Blain);;Space Request [note];;Box Lot;# of Discs;SRP;;;;;Estimated PRODUCTION YEAR;STREET DATE;ISBN;;;;;PACKAGING;REGION CODE;NTSC or PAL;Mono, Stereo, or Surround;B&W, Color, or Both? ( the movies is it in color or black and white? );Full Screen or Widescreen;Aspect Ratio (16:9 or 4:3 or other? );Rating;Language;Closed-Captioned? (Closed-Captioned? yes or no ?);Subtitled? (Subtitled yes? or no?);RUN TIME;;5% Preorder Discount?;IO Approval?;;;;;;"Similar Titles 
(3 minimum)";"TRAILER 
( it has to be youtube)";Selling Points (3 minimum) / Strength;"Marketing Points (3 minimum) /
Marketing Endeveor ";SYNOPSIS;"FORMAT
4K, HD or SD";Estimated BUDGET;PRODUCER;WRITER;EDITOR;"CINEMATOGRAPHER
DIRECTOR OF PHOTOGRAPHY";MUSIC COMPOSER;PRODUCTION COMPANY;"MPAA 
( Estimamted ) 
G
PG
PG13
R
NC17"

My Name Is Nobody;USA AND CANADA;YES;FENIX PICTURES;0 609408 705731;;DVD;;501,25;;Revenge,Crime,Family Noir;My Name Is Nobody;Roy,Neill E/White,Sheena/Sobrero,Barbara/Doherty,Tom/Helm,Phillip/Steel,Bill;Woodruff,Matt;;Full;;30;1;19,99;;;;;2010;3/10/15;NN;;;;;Amaray;1;NTSC;Surround;Color;Widescreen;16x9;NA;English;not yet;no;75min 40sec;;Yes;NN;;;;;;Taken, Departed, Green Street Hooligans, Walking Tall, Snatch;http://www.privatecinema.info/#!my-name-is-nobody/c1zlo;A cult underground hit in the UK, My Name is Nobody will keep you guessing as it's unusual plot twists and turns. Sure to take you on a trip like no other My Name is Nobody offers up a unique blend of action, weirdness and wisdom;A film that has gathered fans by word of mouth in Europe, few films comes surrounded by so much mystique, sometimes dismissed as an urban myth, My Name is Nobody must be seen to be believed. Comes with full press kit and suport materials.;Ex-convict and drifter Ray Travis returns home for the first time in years only to find something terrible has happened to his family... Now as he struggles to save them he must confront the past and slay his demons before time runs out;HD;1 M;Matt Rishton;Matt Rishton;Matt Rishton;Matt Rishton;Matt Rishton;Factor X Films;PG13

999;USA AND CANADA;YES;FENIX PICTURES;0 609408 705663;;DVD;;500,9;;Action, Drama, Thriller;999;"Kamila Ermekova,Kamila/Zadornovsky,Valera/
 Akbarov,Maxim";Kunarova,Marina;;Full;;30;1;19,99;;;;;2011;3/24/15;NN;;;;;Amaray;1;NTSC;Surround;Color;Widescreen;16x11;NA;Russian;Yes;Yes;90 mins;;YES;NN;;;;;;Requiem for a Dream, Winter's Bone, Bottled Up, Addiction;http://www.privatecinema.info/#!999/clq5;"""999"" - is an anti-drug picture, where philosophical life values are combined with contemporary urban youth trends. The story shows how young people deal with drug addiction and its impact on their life. The film reveals the problem of drug addiction in contemporary life and attempts to help young people think about their choices. Drug addiction could be resisted by some, while others lose everything: friends, love and their life. Metiss is a talented rapper, who managed to overcome drug addiction, but paid high price for it by losing his lover. While trying to let his past go, one day, he comes across Linda. In attempt to pay back for his past mistakes and move on, he commits to save her. Will he succeed and who is responsible for our choices?
 
 -Best Foreign Film: LA Femme Film Festival
 -Best Actress (Kamila Yermek): Artek Film Festival 
 -Wisest Film: Artek Film Festival 
 -Official Selection: Schlingel Film Festival 

Winner Children's Jury Award, Best Actress Kamila Ermekova and Winner Children's Jury Award, The Wisest Film. Artek - International Children's Festival. Winner Best Feature, Best Foreign Film. LA Femme Film Festival. Nominated Children's Jury Main Prize, Informative Section - Night Horizons. Zlín International Film Festival for Children and Youth.";"-Create media kit for movie -have cast/crew do radio interviews -Send out early release copies to major publications like LA Times, LA Weekly, etc to get reviews of movies published -Will book cast/crew for shows like ""Good Day LA"" for live interviews. Limited theatrical release.";"The picture reveals the problem of drug addiction in contemporary life. Drug addiction can be resisted by strong character young people while others lose everything: friends, love and life.
 
 Metiss is a talented rapper, who managed to overcome drug addiction, but paid high price for it losing the girl he loved. One day, he comes across Linda, a young woman whom he tries to save.";HD;1 M;Marina Kunarova, Yernar Malikov;Marina Kunarova;Yernar Nurgaliyev;Azamat Dulatov;Assan Kirkabakov;MG Production;PG13

 2XUNO;USA AND CANADA;YES;FENIX PICTURES;0 609408 705625;;DVD;;500,88;;Comedy. Adventure. Romance, Mockumentary; 2XUNO;Medel, David/Valdés, Germán/Villarreal, Lucía/Zaragoza, Mario;De Urquidi, Bernardo;;Full;;30;1;19,99;;;;;2013;4/14/15;NN;;;;;Amaray;1;NTSC;SURROUND 5.1;Color;Widescreen;16x9;NA;Spanish;No;Yes;106min;;YES;NN;;;;;;The 400 Blows, Ferris Bueller's Day Off, City of God;http://www.privatecinema.info/#!2xuno/ckyo;"Fun and original story. Great acting. Fresh aproach Mockumentary movie. Great Soundtrack

Winner of Best International Film Award and Audience Choice Award. Startlite FilmFestival. Winner Best Feature Award. Fort Myers Film Festival. Official Selection Oaxaca Film Festival. Official Selection Monterrey Film Festival";"-Create media kit for movie -have cast/crew do radio interviews -Send out early release copies to major publications like LA Times, LA Weekly, etc to get reviews of movies published -Will book cast/crew for shows like ""Good Day LA"" for live interviews. Limited theatrical release.";Two Brothers run away from home in Mexico city and travel north in search of adventure. Their trip will bring them face to face with death, to survive they will have to change their perception of life, love and freedom.;HD;2 M;Carlos G. Davila, Bernardo De Urquidi, Sergio Vera;Bernardo De Urquidi;Bernardo De Urquidi;Sergio Vera;"Juan ""Cubas"" Friedman";Veritas Films;PG

Cage in Box Elder;USA AND CANADA;YES;FENIX PICTURES;0 609408 705632;;DVD;;500,89;;Action;CAGE IN BOX ELDER;"Smoot,Adam/Cochran,Kylee/
Lewis,Clyde/Radi,Aaron";DeLullo,Kevin;;Full;;30;1;19,99;;;;;2013;4/28/15;NN;;;;;Amaray;1;NTSC;SURROUND;Color;Widescreen;16x9;NA;English;No;NO;90MINS;;YES;NN;;;;;;The Machinist, The Assassination of Jesse James by the Coward Robert Ford, Requiem for a Dream;http://www.privatecinema.info/#!cage-in-box-elder/cubk;"Riding the roller coaster of mental
  illness, Cage's adopted mother and her partner do their best to prepare him
  for the emotional journey of being different in a religious small town. Cage
  meets a self-proclaimed man of God who tells him about a wonderful paradise.
  The man promises to help Cage fulfill his simple dream: to feel the
  excitement of an amusement park. But reaching paradise land isn't exactly
  escaping evil. Cage In Box Elder has a vertical start, highs and lows that go
  round and round in cycles, then builds to a final primal scream. The story
  thrives on dysfunctional people, places, events and a life of drama, with
  individuals unable to help themselves. Extreme highs and lows are at the core
  of this emotional roller coaster";"-Create media kit for movie -have cast/crew do radio interviews -Send out early release copies to major publications like LA Times, LA Weekly, etc to get reviews of movies published -Will book cast/crew for shows like ""Good Day LA"" for live interviews. Limited theatrical release.";"Developmentally disabled Cage works on a
  dairy farm run by an abusive boss. After being taken advantage of by some of
  his 'friends', Cage tries to make sense of his life and immerses himself in
  religous faith.";HD;1 M;Kurt Geltz;Adam Smoot;AK;Gary L Eckert;Jon Bray;Rogue Entertainment;PG13

DRUNK ON LOVE;USA AND CANADA;YES;YTINIFNI PICTURES;0 609408 705908;;DVD;;501,47;;Romantic Comedy;DRUNK ON LOVE;Prendergast, Matt/ Sweeney, Shane/ Chambers, Rachel/ Millns, Nina/ Garratt, Sean/ Geller, Uri/ Asher, Jane;Bryant, David;;Full;;30;1;19,98;;;;;2012;5/12/15;NN;;;;;Amaray;1;NTSC;Surround;Color;Widescreen;16:09;NA;English;No;no;82 min;;YES;NN;;;;;;Clerks, The InbetweenersLove, Actually, Four Weddings and a Funeral,;http://www.privatecinema.info/#!drunk-on-love/c2n7;"Cool Brittania indie comedy in the vein of Kevin Smith and UK hit The Inbetweeners, Cameo by celebrity psychic Uri Geller
Sarah Armstrong' is now also a lead in the new HALO: Nightfall series!!!!! Co Produced by Ridley Scott Woooooow ";"-Create media kit for movie -have cast/crew do radio interviews -Send out early release copies to major publications like LA Times, LA Weekly, etc to get reviews of movies published -Will book cast/crew for shows like ""Good Day LA"" for live interviews. Limited theatrical release 25 theaters in Los Angles, 10 in NY

Set on Valentines Day: Will send out advance copies and trailer to film publications and movie news websites- also interviews with cast and key crew: Social media promotion through Facebook and Twitter: Limited theatrical run with Q&A in UK:";It's Valentines Day and best friends Luke and Brady decide to skip work to go on an historic pub crawl that will change their lives forever. A bad day has never been more fun.;HD / 4K;6 M;Executive Producer Robert J. Escandon, Ben Richards, Mark Reid, Tremain Brown;David Bryant;Yana Kalugina;Leighton Wise;Stewart Dugdale;Animus Pictures, Renderyard/Stained Vision Pictures;PG

CAPTURED;USA AND CANADA;YES;FENIX PICTURES;0 609408 705526;;DVD;;500,95;;Thriller;CAPTURED;Biagio, Cherise / Hitchcock, Warren / Dewhirst, Lauren / Maistry, Clive / Prinsen, Lilani / Steenkamp, Smith / Frost, Craig / McCall-Peat, Bradley / Sons, Sharon / Xaso, Simphiwe / Sewpersadh, Ravi;Sewpersadh, Ravi;;Full;;30;1;19,99;;;;;2010;5/26/15;NN;;;;;Amaray;1;NTSC;Stereo;Color;Widescreen;16x9;NA;English;No;No;88 Minutes;;YES;NN;;;;;;Wrong Turn, I know what you did last summer, Hostel;http://www.privatecinema.info/#!captured/cbrl;A thriller in the same vein as Wrong Turn and I Know What You Did Last Summer. Stunning performance by Craig Frost as the mentally deranged professor reminiscent of favourite movie villains. Unique South African english accents are brought across by the lead cast. Fantastic views of the Magaliesburg mountain area can be seen.;"Have created an electronic press kit for the movie. The trailer featured at the trailer festival in LA. The movie featured in the Silver Screen Film Festival in Cape Town South Africa.- Create media kit for movie -have cast/crew do radio interviews -Send out early release copies to major publications like LA Times, LA Weekly, etc to get reviews of movies published -Will book cast/crew for shows like ""Good Day LA"" for live interviews. Limited theatrical release.";With the term finally behind them, six medical students set aside their university worries and head off into the countryside away from the hustle and bustle of city life. However what should be a relaxing road trip soon develops into a fight for survival. Trapped in the mountains, with no contact to the outside world, they soon realise the rustle behind them is getting closer and the tingling sensation of being watched is growing ever so stronger. With escape seeming less likely, the friends are faced with the question, will they survive or is it just a matter of time before they're Captured? A riveting tale about six friends fighting for survival in the tragic wake of a lost love.;HD;1 M;Ravi Sewpersadh;Finnegan West;Leo Augustus;Charl Fraser;Wes Meyer;Eastern Horizon Entertainment;PG13

RANDOM 11;USA AND CANADA;YES;FENIX PICTURES;0 609408 705939;;DVD;;501,34;;Thriller, Suspense, Noir, Crime, Mystery;Random 11;Abe, Haruka / Kajioka, Junichi / Chok, Vera / McEvoy, Damien;Ukpo, Tony Sebastian;;Full;;30;1;19,98;;;;;2011;6/9/15;NN;;;;;Amaray;1;NTSC;Surround;Color;Widescreen;16 : 9;NA;English + Japanese;No;Yes;86 mins;;YES;NN;;;;;;Girl with the Dragon Tattoo, Murder By Numbers, Oldboy, Kill Bill, Man Bites Dog, Cure;http://www.privatecinema.info/#!random-11/c24a5;"-a crime/revenge film,  Engrossing, distrubing story about a series of murders. 
-Take's place in America and Japan with the main character being Japanese
-Stylish, beautiful black and white cinematography.
-Distinct, confident directorial style reminiscent of David Fincher's ""The Girl with the Dragon Tattoo, and ""Zodiac"".
A Japanese manga & anime inspired mystery thriller, starring rising cult star Haruka Abe as a character reminiscent of Sherlock Holmes. With echoes of thrillers by David Fincher";"-Create media kit for movie -have cast/crew do radio interviews -Send out early release copies to major publications like LA Times, LA Weekly, etc to get reviews of movies published -Will book cast/crew for shows like ""Good Day LA"" for live interviews. Limited theatrical release.

A Japanese manga & anime inspired mystery thriller, starring rising cult star Haruka Abe as a character reminiscent of Sherlock Holmes. With echoes of thrillers by David Fincher";"Prodigy detective Mitsuko Unagi is on the hunt for a notorious serial killer known only as ""Eleven"". It started 10 years earlier, on February 29th 2006, when a series of murders began, involving 11 randomly selected victims killed simultaneously in various parts of Tokyo. The killings continue over the next decade, leaving the police with no evidence, no witnesses, and the killer always one step ahead. But now something is different, and the killer has changed his pattern, giving Detective Unagi the one chance to finally get closer to solving the mystery of the Random 11";HD;1 M;Tony Sebastian Ukpo, Executive Producer - Robert J. Escandon, Mark Reid, Tremain Brown;Tony Sebastian Ukpo;Tony Sebastian Ukpo;Christopher Schneider;Besita Edo, Alejandro Pelaez;Vertigoheights-Film, Renderyard/Stained Vision Pictures;PG13

Angels Die Slowly;USA AND CANADA;YES;FENIX PICTURES;0 609408 705854;;DVD;;500,93;;Horror , Thriller ;Angels Die Slowly;Horne, Heidi Van  /  Leduc, Armando / Charters, Victoria  / Dardant,  Michael;Brown, Charlie ;;Full;;30;1;19,98;;;;;2012;6/23/15;NN;;;;;Amaray;1;NTSC;Surround;Color;Widescreen;16:09;NA;English;No;No;95 min;;YES;NN;;;;;;Natural Born Killers, Mean Streets, True Romance;http://www.privatecinema.info/#!angels-die-slowly/cb4c;"-Film features goth characters as the villains
-crime/mystery/thriller genre film
-New Orleans/underworld setting";"-Create media kit for movie -have cast/crew do radio interviews -Send out early release copies to major publications like LA Times, LA Weekly, etc to get reviews of movies published -Will book cast/crew for shows like ""Good Day LA"" for live interviews. Limited theatrical release.";A Goth couple who also happen to be serial killers seduce and kill a young executive. Before dying, he alerts a friend, a Bourbon street bouncer, who searches the famous French Quarter of New Orleans for the killers before they strike again.;HD;1M;Charlie Brown, Victoria Charters, John Swider;Charlie Brown;F. Richard Sprinkle;Ralph Madison;Narcissy;Mojotooth Productions;PG13

IN DA CUT;USA AND CANADA;YES;FENIX PICTURES;0 609408 732942;;DVD;;501,11;;Comedy/Romance /Drama/;IN DA CUT;Brown,Johnny /Coleman, Lamont / Burnet, Everett ; Shawn,Christopher    ;;Full;;30;1;19,98;;;;;2014;7/28/15;NN;;;;;Amaray;1;NTSC;Surround;Color;Widescreen;16x10;NA;English;No;no;103  min;;YES;NN;;;;;;The Big Picture, Swimming with sharks, the Player;http://www.privatecinema.info/#!in-da-cut/c1nzh;"-Features a young black man trying to make his way in the film world
-a meta film that deconstructs the glamor of the film buisness while simaltaneously depicting the growing up from the teen to the adult world
Starring Legend  Johnny Brown  http://en.wikipedia.org/wiki/Johnny_Brown";"-Create media kit for movie -have cast/crew do radio interviews -Send out early release copies to major publications like LA Times, LA Weekly, etc to get reviews of movies published -Will book cast/crew for shows like ""Good Day LA"" for live interviews. Limited theatrical release.";"In Da Cut is a comically inspiring story of what comes after the legal age of adulthood and before the transition of taking on the full responsibilities of being a functioning member of society. The main character Michael is a young aspiring film maker, fresh out of school, who with his like-minded friends feel ready to take on the world. He wants to pursue the life he and his friend have always imagined, by chasing the illusion of beautiful women, big cash and quick recognition in the film circuit. On the path of fulfilling his life long dreams he comes to the shocking revelation that nothing in Hollywood is personal; it's just show business";HD;1 M;Adekunie Ilori;Lamont Coleman;Christopher Shawn Smith | Isaiah Jonathon White;John Ros;Daniel Smith Coleman;Biblical Films;PG

You Bury Your Own;USA AND CANADA;YES;YTINIFNI PICTURES;0 609408 705847;;DVD;;501,53;; Thriller;You Bury Your Own;Margolis,Mark / Williamson,Mykelti ;Wilson, Robert ;;Full;;30;1;19,98;;;;;2014;8/11/15;NN;;;;;Amaray;1;NTSC;Surround;Color;Widescreen;16x10;NA;English;No;no;107 Mins ;;YES;NN;;;;;;We Own the Night, Harsh Times, Out of the Furnace,Goodfellas;http://www.privatecinema.info/#!you-bury-your-own/c11l7;"-Soild ensemble cast gives weight to this gritty mystery. Strong family vengeance at the core of the story. 
Working-class tale brings to mind the recent winner ""Out of the Furnace"".
- Starring Mykelti Williamson, Mark Margolis, Luis Ramos, and John Glover";"-Create media kit for movie -have cast/crew do radio interviews -Send out early release copies to major publications like LA Times, LA Weekly, etc to get reviews of movies published -Will book cast/crew for shows like ""Good Day LA"" for live interviews. Limited theatrical release.";A soldier returns home to New York to seek the truth behind his younger brothers sudden and violent death. While he and his sister struggle to cope with this seemingly meaningless act, he assumes personal responsibility for solving the mystery of how the tragedy took place.;HD and 4K;3.5 M;Erin Berry;Robert Wilson;Walt Biljan;Brendan Steacy;Mark Dejczak;Samaritan Entertainment;PG13

"WALKING WITH LIFE
-
TOSTAN: PARTNERSHIP 
-
HUMAN RIGHTS CITIES 
-
SURRENDER
-
Swahili Beat";USA AND CANADA;YES;FENIX PICTURES;0 609408 705687;;DVD;;501,42;;Documentary;"WALKING WITH LIFE

TOSTAN: PARTNERSHIP 

HUMAN RIGHTS CITIES ";Saka,Issa;Mann,Kenny;;Full;;30;1;19,99;;;;;2012;8/25/15;NN;;;;;Amaray;1;NTSC;Surround;Color;Widescreen;16x13;NA;"Wolof
(African Language)";Yes;Yes;40mins;;Yes;NN;;;;;;Ghosts of Rwanda, Call me Kuchu, The Supreme Price, God Loves Uganda;http://www.privatecinema.info/#!walking-with-life/ctzg;"-a documentery about the movement for human rights in Sengal
-focuses on issues such as genital mutilation, woman's rights, health, and arranged marriages";"-Create media kit for movie -have cast/crew do radio interviews -Send out early release copies to major publications like LA Times, LA Weekly, etc to get reviews of movies published -Will book cast/crew for shows like ""Good Day LA"" for live interviews. Limited theatrical release.";"Through human rights education, the Islamic people of Senegal come to their  own understanding of human rights and 
democracy, triggering a re-evaluation of  
some ancient practices.  As women learn of their right to good health, they stop the tradition of female genital cutting, which was thought to be a part of Islamic law.  Boys, who as good Muslims had to beg for a living, are now given a chance for education and job training. Understanding the right to a life free from discrimination leads to the breakdown of cultural barriers between ethnic groups, allowing intermarriage and greater prosperity.";HD;1 M;Page Ostrow;Kenny Mann;Perry Finkelstein;Kenny Mann;Kenny Mann;Rafikiproductions;PG

UNFORGOTTEN;USA AND CANADA;YES;FENIX PICTURES;0 609408 705779;;DVD;;501,39;;Crime/Drama/ Thriller;UNFORGOTTEN;Marzilli,Pete/Chimato,Vincent/Escobar,Roberto/Martinez,Alexis/Hambrecht,Samuel/Pfeiffer,Tina;O.,Octavian;;Full;;30;1;19,99;;;;;2011;8/25/15;NN;;;;;Amaray;1;NTSC;Stereo;Color;Widescreen;16,9;NA;English;No;No;1:42:45;;Yes;NN;;;;;;Taken, The Punisher, American Gangster;http://www.privatecinema.info/#!unforgotten/c14la;A combination of a modern day gangster film with a traditional Western feel that keeps you at the edge of your seat the whole time.;Filled to capacity at first screening at the Wellington 8 Cinemas: the trailer generated 1750 views in a less then a month: Several articles written in Focus on Film magazine:;Professor James Earl Medina is a renowned University Professor and a loving family man. But someone from his dark past decided that they want revenge for something that the good professor did almost thirty years ago. The good professor has no choice but to go back to his former, tragic life in order to save his family. What follows is a collision between the professor and those who want to hurt him and his family.;HD;1 M;Barbara Goldman;Octavian O.;Octavian O.;Alex Haney | Octavian O.;Anthony Espina;New Beginning Films;R

LIPSTICK AND BULLETS;USA AND CANADA;YES;YTINIFNI PICTURES;0 609408 705786;;DVD;;501,49;;ACTION / COMEDY ;LIPSTICK AND BULLETS;Forster, Robert / Henriksen, Lance, Tyson , Richard;Alex Ferrari;;Full;;30;1;19,99;;;;;2014;9/8/15;NN;;;;;Amaray;1;NTSC;Surround;Color;Widescreen;16x9;NA;English;no;no; 81 min;;YES;NN;;;;;;Kill Bill, The Raid: Redemption, Romeo Must Die, Haywire;http://www.privatecinema.info/#!kkk/c18vn;"-A collection of revenge films by Alex Ferrari + a 4 hours Educational  behind the scense look at the making of independent films
-is sure to offer lot's of knowlage 
one of the films is animated";"-Create media kit for movie -have cast/crew do radio interviews -Send out early release copies to major publications like LA Times, LA Weekly, etc to get reviews of movies published -Will book cast/crew for shows like ""Good Day LA"" for live interviews. Limited theatrical release.";Collection of short features about revenge from indie film director Alex Ferrari. In 'Broken' : Bonnie (Samantha Jane Polay) suffers from a recurring nightmare that proves to be the answer to her survival when she is kidnapped by a ruthless gang. In 'Cyn' :  a young woman Cynthia (Stephaine Michaels) is abducted by psychopaths Otto (Frank Rodriguez) and Mr Sugar (Josh Randall), but is just as willing as they are to commit a sin or two in order to survive. In 'Red Princess Blues' : teenager Zoe (Tabitha Morella) is tricked into entering a carnival tent with a seedy worker and it is up to knife show performer Princess (Rachel Grant) to save her from being subjected to his sordid plans. The animated prequel 'Red Princess Blues - Genesis' : follows the story of Princess (voice of Holly Fields) from childhood, exploring her reasons and need for seeking vengeance.;HD;2 M; Tremain Brown;Alex Ferrari;Alex Ferrari;Angel Barroeta;Cris Velasco;Enigma Factory, The;PG13

FIVE PILLARS;USA AND CANADA;YES;FENIX PICTURES;0 609408 422430;;DVD;;501,55;;Drama, Thriller, Social Realism;FIVE PILLARS;Bott, Tom/Jeffcoate, Aaron/Probets, Adam/Glossop ,Charlie/Newton, George/Lucy, Rachel/Calvey, Mhairi;Rosling, Jon;;Full;;30;1;19,99;;;;;2013;9/22/15;NN;;;;;Amaray;1;NTSC;Stereo;Colour;Widescreen;2.35:1;NA;English;No;No;86 minutes;;Yes;NN;;;;;;THIS IS ENGLAND, AMERICAN HISTORY X, TYRANNOSAUR, LONDON TO BRIGHTON;http://www.privatecinema.info/#!five-pillars/c5xm;"FIVE PILLARS formed part of a special event at Rotherham College of Arts and Technology (RCAT) 
Actor Rick Bithell is  in a crime recreation on the 
BBC's Crimewatch programme. 
Winner at the Southend On Sea Film Festival
Winner at the No Gloss Film Festival ";"-Create media kit for movie -have cast/crew do radio interviews -Send out early release copies to major publications like LA Times, LA Weekly, etc to get reviews of movies published -Will book cast/crew for shows like ""Good Day LA"" for live interviews. Limited theatrical release.";The lives of vastly separate people collide in interweaving stories of liberty, identity, tolerance, responsibility and class;HD;3.5M;ROB YEOMANS;JON ROSLING;JON ROSLING;JON ROSLING;DAVE S. WALKER;EYE FILMS LIMITED;PG13

KARMA KILLER, the ;USA AND CANADA;YES;FENIX PICTURES;0 609408 705755;;DVD;;501,15;;Suspense /Crime / Thriller;KARMA KILLER, the ;Duns, Scott Frederick / Feilzer, Jason / Flores, Teri;Dun, Scott Frederick;;Full;;30;1;19,99;;;;;2010;10/27/15;NN;;;;;Amaray;1;NTSC;Surround;Color;Widescreen;16x11;NA;English;No;no;95mins;;YES;NN;;;;;;Law Abiding Citizen, Seeking Justice, Leon the Professional ;http://www.privatecinema.info/#!karma-killer/ca4y;A Crime / Thriller in the same vein as Law Abiding Citizen and Seeking Justice. A fan favorite of Payback/Revenge type film;"A Crime / Thriller in the same vein as Law Abiding Citizen and Seeking 
Justice. A fan favorite of Payback/Revenge type films.";"Connor Phillips has the perfect life until the brutal murder of his wife turns his
world upside-down.

As he struggles to put the pieces of his life back together, his nightmares continue to
haunt him and a gnawing desire for retribution grows. Connor begins to
understand why others believe in raw justice and finds himself agreeing that
sometimes it may not only be right, but justified.

A Crime / Thriller in the same vein as Law Abiding Citizen and Seeking 
Justice. A fan favorite of Payback/Revenge type films.";HD;1 M;Scott Frederick Duns;Kandice Duns (Story) | Scott Frederick Duns;Kris Adams | Scott Frederick Duns;Jeff McPhee;Deane Ogden;Wild Heart Productions;PG13

Neville Rumble;USA AND CANADA;YES;FENIX PICTURES;0 609408 705885;;DVD;;501,26;;Romance/Thriller/Drama;Neville Rumble;Hencher,Ian / Lochrie, Alex / Fowler, Gavin;Miller,Richard/Price,Lee;;Full;;30;1;19,98;;;;;2013;10/27/15;NN;;;;;Amaray;1;NTSC;Surround;Color;Widescreen;16x9;NA;English;No;no;120 Minutes;;Yes;NN;;;;;;Submarine, Driving Lessons, Harold and Maude, Psycho, Crush, Obsessed;http://www.privatecinema.info/#!neville-rumble/c1m8v;"Relatable angsty and awkward character for teens youths, boys and girls alike. Accomodates interest in British characters and life. Focuses on an unlikely interpersonal relationship between a boy and a girl, positive associations with ""The Fault in Our Stars.""

Original self funded UK Thriller, First time feature for writers Richard Miller and Lee Price, A story never told before about a charachter with aspergers struggling to cope with rejection.

Review by Olivia James

A definite twist on the classic love story, what starts out as a cute encounter at a 
‘people skills course’ soon takes a downward spiral into something far more sinister. 
Neville Rumble is a wanton character who seems deeply disturbed and, above all else, 
lonely. A sad soul, who embodies a childlike petulance and, at times, an (uncomfortably) 
endearing innocence, depicted wonderfully by the film’s lead actor Ian Hencher. The 
film’s creators Lee Price and Richard Miller have accomplished a well-executed feature 
that continually builds suspense and tension with the viewer peering past door frames 
or over shoulders to view the scene before them. Staying close to Neville, his upper 
body is rarely in less than the full frame which immerses the viewer even more into the 
story as well as into his claustrophobia and isolation. A smooth editing pace coupled 
with a great soundtrack provided by independent musicians adds to Neville’s world and 
builds atmosphere around him. Made with a tiny crew and fantastic, at times beautiful, 
use of locations local to Warwickshire and the surrounding area, ‘Neville Rumble’ is a 
great achievement that will have the viewer constantly hooked for what’s coming next. 
If Neville’s love interest, Lucy, can keep her cool and her sanity remains to be seen";"-Create media kit for movie -have cast/crew do radio interviews -Send out early release copies to major publications like LA Times, LA Weekly, etc to get reviews of movies published -Will book cast/crew for shows like ""Good Day LA"" for live interviews. Limited theatrical release.

Social Media via Facebook and Twitter, Cast and Crew Interviews available, Uk budget film made for less than £5000";"Neville Rumble (Ian Hencher) is an obsessive man. When he meets 
Lucy (Alex Lochrie) at a 'people skills' training course he becomes 
infatuated. He is left devastated and deeply depressed when she leaves 
town.

 Three years later, in a chance meeting, Neville sees Lucy again. But she is with her fiancé (Gavin Fowler).


 Unable to accept reality, Neville takes drastic steps. Lucy finds 
herself chained in an old cargo container, in an unknown location, not 
knowing Neville's motives or his plans for the future.

 As time passes the seesaw of power shifts and things start to go badly wrong for Neville.";HD;1 M;Executive Producer Robert J. Escandon, Kimberleigh Thurlow, Mark Reid, Tremain Brown;Richard Miller and Lee Price;Richard Miller;Richard Miller and Lee Price;Stephen Theofanous / Jamie Goff;Body In the box productions, Renderyard/Stained Vision Pictures;PG13

LOVE IS NOT ENOUGH;USA AND CANADA;YES;FENIX PICTURES;0 609408 732973;;DVD;;501,17;;Music /Drama ;LOVE IS NOT ENOUGH;Bell,Steve / Brennan,Sean /  Bug,Diesel /  Butt,Aamar; Norfolk.Mark;;Full;;30;1;19,98;;;;;2001;11/10/15;NN;;;;;Amaray;1;NTSC;Surround;Color;Widescreen;16x10;NA;English;No;no;85 min;;YES;NN;;;;;;Adaptation, The Snowball Effect, Hearts Of Darkness, David Holzman’s Diary;http://www.privatecinema.info/#!love-is-not-enough/c1kwi;"Inspiring film
Hope is a good thing
Fight for your goals ";"-Create media kit for movie -have cast/crew do radio interviews -Send out early release copies to major publications like LA Times, LA Weekly, etc to get reviews of movies published -Will book cast/crew for shows like ""Good Day LA"" for live interviews. Limited theatrical release.";A filmmaker is given a commission to make a pop video but takes the money and attempts to complete his own long term film project. He takes to the road and tries to re-engage his old cast but finds them no longer interested in the film. Things go from bad to worse when the crew he has managed to recruit also decide to bail out. This is a film about perseverance in the face of adversity.;HD;£20,000 ;Mark Norfolk;Mark Norfolk;Suryaprabha;Martin Scanlan;Kerry Hope-Kavanagh;Prussia Lane Productions Ltd.;PG13

